f V
0 0.3156133969527983
1 0.2930539166868545
2 0.2008927337886619
3 0.29053046038169167
4 0.25072148984241893
5 0.16074725641736246
6 0.5185873019438944
7 0.6347519566210064
8 0.5209780011134534
9 0.3587720506694512
10 0.3995523893437969
11 0.4298212749612647
12 0.48193814652702605
13 0.3321084889511604
14 0.1883159057813181
15 0.19203425520970427
16 0.10237168405603891
17 0.10936121087750751
18 0.09058701134535474
19 0.33781978664761536
20 0.23958644632243678
21 0.11865190224280416
22 0.2584270170549931
23 0.4325573051182923
24 0.3267635820629085
25 0.1611164703069827
26 0.18375520000414355
27 0.11342530711890479
28 0.19800038291296143
29 0.2318980733241571
30 0.15258849400394428
31 0.14292205617073755
32 0.12982870094738333
33 0.09331983454027433
34 0.0790191145987036
35 0.08127615669093617
36 0.08130965785622409
37 0.06187411995571007
38 0.08601729567264556
39 0.07736984546648541
40 0.08696339580677465
41 0.07761912189945326
42 0.08020603514598744
43 0.05730338322207388
44 0.06789505270527234
45 0.06972639458835012
46 0.0400695027040944
47 0.05021412540034792
48 0.03982990820221806
49 0.02356638963916106
50 0.027767044037566784
51 0.03604601170138036
52 0.032887292301915595
53 0.0548797423081774
54 0.05091496690496363
55 0.03191944577773357
56 0.021822168118022355
57 0.025329835619144887
58 0.060570125454370426
59 0.05222044199836783
60 0.046046801990300444
61 0.06057108875712852
62 0.09095983879392211
63 0.10747664605193852
64 0.2440151142968319
65 0.2549133790304686
66 0.17841935866672864
67 0.0974888585512853
68 0.10639929415111173
69 0.10381406920921592
70 0.06595045916328933
71 0.04966119716319051
72 0.07533176536621271
73 0.046713716726980124
74 0.052204338707213825
75 0.03920420027642068
76 0.03897245084569167
77 0.039990891494397954
78 0.03660824935418295
79 0.045078023158153145
80 0.047588001415617504
81 0.05112790061831992
82 0.039051194673789126
83 0.04184128102393653
84 0.06500757119434859
85 0.0570915926827587
86 0.04106365307077711
87 0.03452647549825514
88 0.06728632900300859
89 0.06795953073318665
90 0.08234281698287389
91 0.04930988171443124
92 0.05162846671029663
93 0.039790096250197124
94 0.06502230309792466
95 0.05768040138088288
96 0.02977729448014077
97 0.06354984819541674
98 0.07898931655038836
99 0.049034997600444934
100 0.06061442397412511
101 0.01656037768200802
102 0.037193208958754186
103 0.048857897351494844
104 0.057833187558469695
105 0.06419287305367075
106 0.011126291010563566
107 0.023056508816510068
108 0.04236023345815904
109 0.04934067525829328
110 0.052365438578644515
111 0.06514456728951669
112 0.061911896315721304
113 0.05785289532809357
114 0.03271777974597255
115 0.04383195455811803
116 0.04278808165193171
117 0.04818651108538296
118 0.06163882791141628
119 0.0695127414952222
120 0.05871781025663184
121 0.03641197195129584
122 0.04204090504465351
123 0.02718274770677088
124 0.037808277659687105
