t,V
0,0.24512958212053834
1,0.33269025647641404
2,0.22855081839643487
3,0.2678704803396084
4,0.2141494316659328
5,0.15461280182588075
6,0.5688414576572153
7,0.818488709908152
8,0.5888246879474878
9,0.28109989747475644
10,0.3868015360723472
11,0.3168644977749009
12,0.6017405000769911
13,0.391201473592368
14,0.060993181286815856
15,0.20520439899853432
16,0.05094831638232986
17,0.1194184361153457
18,0.04413034915719759
19,0.3450523664081897
20,0.26637235926041325
21,0.13323212818999788
22,0.17606047209733114
23,0.5041179213241601
24,0.40265327198660084
25,0.06504327683827485
26,0.17472382082949434
27,0.11106884284230169
28,0.1273002202156296
29,0.27784891177614013
30,0.05567271666904545
31,0.1892956117030433
32,0.18296768249859466
33,0.1076041382881595
34,0.05616381233288917
35,0.10684694429955946
36,0.10965829756669408
37,0.09127417390924586
38,0.11659479652261963
39,0.1088664631564572
40,0.10156654387641185
41,0.0892203550189355
42,0.08222524086111371
43,0.04211845067051215
44,0.08991852926533396
45,0.08781874087922065
46,0.04388460680167809
47,0.05854167829525662
48,0.030522321968369574
49,0.005116513337169215
50,0.023276034968585168
51,0.032066327247315944
52,0.029132198914360422
53,0.03927701793963588
54,0.04629697389532812
55,0.03181874642437453
56,0.008775506527374154
57,0.03744850090824569
58,0.07093573708187532
59,0.040021594285876476
60,0.04926703312082686
61,0.0724933288691596
62,0.12316638889169781
63,0.0999634131548819
64,0.23520769067064637
65,0.32747639815724405
66,0.17706624119669867
67,0.016167760160151277
68,0.12713789902561914
69,0.10686087921818882
70,0.06257528555042416
71,0.06953346539341376
72,0.08674080576503532
73,0.04837626910399047
74,0.06551614408840759
75,0.029573954086954613
76,0.04280304068778027
77,0.03472093420038479
78,0.013041485978546579
79,0.04024413624943955
80,0.04319473951565669
81,0.05101917657967256
82,0.02441397373880772
83,0.04383696828656728
84,0.06800225534468392
85,0.025684917401718504
86,0.046440256722097756
87,0.040810565083536324
88,0.08764649721019342
89,0.08824051946913007
90,0.09862532377125928
91,0.05498823787697252
92,0.05839966351225688
93,0.050569306716700964
94,0.08113775445597961
95,0.04920363276679516
96,0.03337648207638594
97,0.07527285126431278
98,0.09163617777148952
99,0.04629570081856518
100,0.06970030902102874
101,0.01649242779389229
102,0.038533579101041014
103,0.06181652818338714
104,0.06086166227156529
105,0.0590028579526805
106,0.0010390899568000552
107,0.024059242890378082
108,0.04320145558464675
109,0.01828819589636796
110,0.03111240050034983
111,0.059077190310949115
112,0.04720911861442486
113,0.062428883016991066
114,0.039145242901978766
115,0.04081185236955797
116,0.02000913729804787
117,0.06100755076600233
118,0.08656599639888436
119,0.09369410038710774
120,0.06397033891119124
121,0.049271741859792176
122,0.04719691995578042
123,0.016206570780495776
124,0.04215427550149967
