t,EEG,S1,S2,S3,ES1,ES2,ES3,,f,TS1,TS2,TS3,PSD
12,0.12557421719577,0.000838447723629,0.004697051664153,0.017063949321254,0.000105287416554,0.000589828585854,0.002142792078285,,12,0.395139805912392,0.601740500076991,0.448934133591695,0.481938146527026
13,0.181024608447172,0.000896242058882,0.004949713458652,0.017707782940136,0.000162241867783,0.000896019940778,0.003205544473206,,13,0.210151422605782,0.391201473592368,0.394972570655331,0.33210848895116
14,0.489082337621626,0.000956369290781,0.00520925934611,0.018359617818826,0.000467743328365,0.002547756738273,0.008979364800671,,14,0.145226020523683,0.060993181286816,0.358728515533456,0.188315905781318
15,0.049644919760306,0.001018880264635,0.005475731699404,0.01901923144537,5.05822289831821E-05,0.000271842260846,0.000944208219008,,15,0.233361798241893,0.205204398998534,0.137536568388685,0.192034255209704
16,-0.061874389611642,0.001083825951082,0.005749169817002,0.019686393518016,-6.70610691684677E-05,-0.000355726373201,-0.001218083582582,,16,0.089805191692645,0.05094831638233,0.166361544093142,0.102371684056039
17,-0.069653600839171,0.00115125742243,0.006029609853436,0.020360866017121,-8.01892249650489E-05,-0.000419984037947,-0.001418207634296,,17,0.088729089022008,0.119418436115346,0.119936107495169,0.109361210877508
18,-0.185799201823027,0.001221225828598,0.006317084750942,0.021042403283123,-0.000226902784199,-0.001173709304573,-0.003909661734442,,18,0.021220040586193,0.044130349157198,0.206410644292674,0.090587011345355
19,-0.278517946924848,0.001293782372663,0.006611624172333,0.021730752100567,-0.000360341610202,-0.001841455990317,-0.006052404460183,,19,0.213256052713516,0.34505236640819,0.45515094082114,0.337819786647615
20,-0.334209479255839,0.001368978286016,0.006913254435155,0.022425651788161,-0.000457525520082,-0.002310475164736,-0.007494865406094,,20,0.098264086760621,0.266372359260413,0.354122892946276,0.239586446322437
21,0.101637347930407,0.001446864803149,0.007221998447186,0.02312683429484,0.000147055501406,0.00073402476893,0.002350550103754,,21,0.120965555153326,0.133232128189998,0.101758023385089,0.118651902242804
22,0.265363701033289,0.001527493136075,0.007537875643336,0.023834024301826,0.000405341231892,0.002000278578644,0.00632468489925,,22,0.12258128068271,0.176060472097331,0.476639298384938,0.258427017054993
23,0.401656639216774,0.001610914448391,0.007860901923992,0.02454693933063,0.000647034483407,0.003157383448003,0.009859441154599,,23,0.302766191848852,0.50411792132416,0.490787802181865,0.432557305118292
24,0.470213048143817,0.001697179829007,0.008191089594887,0.025265289856991,0.000798036100646,0.003851557206031,0.011880068955893,,24,0.231002217172042,0.402653271986601,0.346635257030083,0.326763582062909
25,0.519212915516223,0.001786340265537,0.008528447308514,0.025988779430676,0.000927490937373,0.00442807999188,0.013493709938909,,25,0.180263719683803,0.065043276838275,0.23804241439887,0.161116470306983
26,0.638818890992175,0.001878446617371,0.008872980007173,0.026717104801137,0.001199987184897,0.005668227247978,0.017067391259584,,26,0.1398137596617,0.174723820829494,0.236728019521237,0.183755200004144
27,0.382968205548656,0.001973549588451,0.009224688867678,0.02744995604894,0.00075580674445,0.003532762542399,0.010512460410452,,27,0.119482468734502,0.111068842842302,0.10972460977991,0.113425307118905
28,0.151086943416246,0.002071699699735,0.009583571247791,0.028187016722929,0.000313006775309,0.001447952486841,0.00425869020069,,28,0.19474860902824,0.12730022021563,0.271952319495015,0.198000382912961
29,0.02199327216388,0.002172947261397,0.009949620634427,0.02892796398308,4.77902205176686E-05,0.00021882471454,0.000636220585027,,29,0.316521103099384,0.27784891177614,0.101324205096947,0.231898073324157
30,-0.179975644750962,0.002277342344749,0.010322826593686,0.029672468748944,-0.000409866156815,-0.001857857371851,-0.005340321694444,,30,0.173538207953513,0.055672716669046,0.228554557389275,0.152588494003944
31,-0.292311216677317,0.00238493475391,0.01070317472276,0.03042019585366,-0.000697143179611,-0.00312865802552,-0.008892164461546,,31,0.164140324397073,0.189295611703043,0.075330232412096,0.142922056170738
32,-0.280784673072981,0.002495773997234,0.011090646603759,0.031170804203423,-0.000700775085877,-0.003114083580805,-0.00875228406768,,32,0.130578540995156,0.182967682498595,0.075939879348399,0.129828700947383
33,-0.037932697524687,0.002609909258514,0.011485219759518,0.031923946942361,-9.90008984700941E-05,-0.000435665367142,-0.001210961423159,,33,0.131512484356521,0.10760413828816,0.040842880976142,0.093319834540274
34,0.143720083434814,0.00272738936797,0.01188686761141,0.03267927162272,0.000391980627524,0.00170838160489,0.004696667644206,,34,0.109422670229634,0.056163812332889,0.071470861233588,0.079019114598704
35,0.099257285474867,0.002848262773037,0.012295559439238,0.033436420380294,0.000282710831171,0.001220423853334,0.003318808322944,,35,0.107780660430322,0.106846944299559,0.029200865342927,0.081276156690936
36,0.23125429532548,0.002972577508975,0.012711260343225,0.034195030114979,0.000687421317138,0.002939533553371,0.007907747592873,,36,0.068350603885553,0.109658297566694,0.065920072116426,0.081309657856224
37,0.475771350028334,0.003100381169305,0.013133931208167,0.034954732676393,0.001475072534523,0.006248748182089,0.016630460355327,,37,0.062831699646407,0.091274173909246,0.031516486311478,0.06187411995571
38,0.694341624567453,0.003231720876096,0.013563528669779,0.035715155054438,0.002243918323257,0.009417722531442,0.024798518782177,,38,0.103566418776085,0.11659479652262,0.037890671719233,0.086017295672646
39,0.56331761897298,0.003366643250109,0.014000005083278,0.036475919574708,0.001896489459583,0.007886449529122,0.020547528164674,,39,0.114253468429879,0.108866463156457,0.00898960481312,0.077369845466485
40,0.470418018061467,0.003505194380827,0.014443308494248,0.037236644098648,0.001648906593549,0.006794392556114,0.017516788316146,,40,0.062388504065694,0.101566543876412,0.096935139478218,0.086963395806775
41,0.33713934337284,0.00364741979637,0.014893382611824,0.037996942228336,0.001229688715153,0.005021145234351,0.012810264153037,,41,0.048759363692762,0.089220355018936,0.094877646986662,0.077619121899453
42,0.528460675918446,0.003793364433328,0.015350166784231,0.038756423515787,0.002004643932441,0.008111959514256,0.020481245767334,,42,0.067527180795592,0.082225240861114,0.090865683781256,0.080206035145988
43,0.163361024367306,0.003943072606513,0.015813595976715,0.039514693676654,0.000644144380155,0.002583325237687,0.006455160836578,,43,0.035124619023206,0.042118450670512,0.094667079972503,0.057303383222074
44,0.190115627147663,0.004096587978662,0.016283600751902,0.040271354808205,0.000778825392729,0.00309576696917,0.007656213875448,,44,0.059773618490956,0.089918529265334,0.053993010359527,0.067895052705272
45,0.343517524927959,0.004253953530091,0.016760107252628,0.041026005611451,0.001461307587815,0.00575739056095,0.014093151905326,,45,0.058309616804609,0.087818740879221,0.06305082608122,0.06972639458835
46,0.119636118110901,0.004415211528335,0.017243037187247,0.041778241617295,0.000528218767889,0.002062890033524,0.004998186648592,,46,0.031349926779869,0.043884606801678,0.044973974530736,0.040069502704094
47,0.390226552044273,0.004580403497775,0.017732307817484,0.042527655416565,0.001787395063908,0.006919617339404,0.016595420339733,,47,0.036249978061939,0.058541678295257,0.055850719843848,0.050214125400348
48,0.225864792196675,0.004749570189277,0.018227831948829,0.043273836893799,0.001072760683824,0.004117025475318,0.009774036177571,,48,0.045803036451677,0.03052232196837,0.043164366186608,0.039829908202218
49,0.347411953363315,0.004922751549861,0.018729517923525,0.044016373464637,0.001710222731859,0.006506858407365,0.015291814285319,,49,0.032771276400718,0.005116513337169,0.032811379179596,0.023566389639161
50,0.585020316135955,0.005099986692417,0.019237269616159,0.044754850316678,0.002983595827087,0.011254193552438,0.02618249668088,,50,0.044168109242187,0.023276034968585,0.015856987901928,0.027767044037567
51,0.347592809173007,0.005281313865483,0.019750986431894,0.045488850653657,0.001835746722628,0.0068653008578,0.015811597384756,,51,0.021158413632513,0.032066327247316,0.054913294224312,0.03604601170138
52,0.45763754084327,0.005466770423099,0.020270563307356,0.046217955942786,0.002501799372782,0.009276570743486,0.021151071700459,,52,0.04226432743869,0.029132198914361,0.027265350552697,0.032887292301916
53,0.194986676955353,0.005656392794773,0.020795890714207,0.046941746165107,0.001102921234607,0.00405492162469,0.009153015095216,,53,0.048836655863479,0.039277017939636,0.076525553121418,0.054879742308178
54,0.192539094997528,0.00585021645555,0.021326854665412,0.047659800068704,0.001126395381891,0.004106253296422,0.009176374772991,,54,0.070603643729273,0.046296973895328,0.03584428309029,0.050914966904964
55,0.025688759208575,0.006048275896225,0.021863336724235,0.048371695424611,0.000155372703125,0.000561641992605,0.001242608836273,,55,0.043417415228918,0.031818746424375,0.020522175679908,0.031919445777734
56,-0.082258045069268,0.006250604593707,0.022405214015961,0.049077009285251,-0.000514162514379,-0.001843009104311,-0.004036978841651,,56,0.021168616294153,0.008775506527374,0.03552238153254,0.021822168118022
57,-0.207019616826824,0.006457234981552,0.02295235924238,0.049775318245251,-0.001336774311642,-0.004751588615629,-0.010304467310565,,57,0.022451747223267,0.037448500908246,0.016089258725923,0.025329835619145
