t,V
0,0.010032166385652436
1,0.010565536118048453
2,0.011108951744447088
3,0.011662287636415159
4,0.012225409983818864
5,0.01279817679469475
6,0.013380437900977243
7,0.013972034970124163
8,0.014572801522676633
9,0.015182562955786218
10,0.015801136572737327
11,0.01642833161848874
12,0.017063949321254157
13,0.017707782940136318
14,0.01835961781882576
15,0.01901923144537023
16,0.01968639351801634
17,0.020360866017120602
18,0.021042403283122416
19,0.021730752100566835
20,0.022425651788160625
21,0.023126834294840238
22,0.023834024301825733
23,0.024546939330630353
24,0.025265289856990437
25,0.025988779430675985
26,0.026717104801137353
27,0.027449956048939433
28,0.02818701672292932
29,0.028927963983079535
30,0.02967246874894412
31,0.030420195853660185
32,0.03117080420342334
33,0.03192394694236063
34,0.032679271622720316
35,0.03343642038029358
36,0.03419503011497853
37,0.03495473267639289
38,0.03571515505443743
39,0.03647591957470765
40,0.037236644098647693
41,0.037996942228335794
42,0.03875642351578685
43,0.03951469367665366
44,0.04027135480820452
45,0.04102600561145084
46,0.04177824161729509
47,0.04252765541656532
48,0.04327383689379914
49,0.04401637346463659
50,0.04475485031667765
51,0.045488850653657084
52,0.046217955942786104
53,0.04694174616510699
54,0.04765980006870393
55,0.04837169542461043
56,0.04907700928525096
57,0.04977531824525123
58,0.050466198704449766
59,0.05114922713294013
60,0.05182398033797152
61,0.05249003573253251
62,0.053146971605441094
63,0.05379436739276207
64,0.05443180395037064
65,0.055058863827479806
66,0.055675131540947206
67,0.05628019385017544
68,0.05687364003241904
69,0.057455062158309374
70,0.058024055367408296
71,0.058580218143599906
72,0.05912315259012917
73,0.059652464704095534
74,0.06016776465020887
75,0.06066866703361501
76,0.06115479117159754
77,0.06162576136396253
78,0.06208120716191299
79,0.06252076363521993
80,0.06294407163749688
81,0.06335077806938597
82,0.06374053613946326
83,0.06411300562267254
84,0.06446785311609715
85,0.06480475229188104
86,0.06512338414711046
87,0.06542343725046992
88,0.06570460798548725
89,0.06596660079018354
90,0.06620912839294651
91,0.06643191204444691
92,0.06663468174541995
93,0.06681717647013574
94,0.06697914438538523
95,0.06712034306480998
96,0.06724053969840771
97,0.0673395112970469
98,0.06741704489182772
