t,V
0,0.002182765444165614
1,0.002357142985496985
2,0.0025376829955721276
3,0.002724458969794337
4,0.0029175422337008343
5,0.003117001863923859
6,0.003322904609621799
7,0.003535314814438924
8,0.0037542943390522733
9,0.003979902484364464
10,0.004212195915401142
11,0.0044512285859718385
12,0.004697051664153051
13,0.004949713458652093
14,0.005209259346110351
15,0.005475731699404297
16,0.005749169817002446
17,0.00602960985343616
18,0.006317084750941996
19,0.0066116241723328355
20,0.006913254435154787
21,0.007221998447186342
22,0.007537875643335783
23,0.007860901923992459
24,0.008191089594886854
25,0.00852844730851383
26,0.008872980007172807
27,0.009224688867677983
28,0.009583571247790875
29,0.009949620634426795
30,0.01032282659368605
31,0.010703174722759756
32,0.01109064660375935
33,0.011485219759517853
34,0.011886867611410029
35,0.01229555943923765
36,0.012711260343224786
37,0.013133931208167264
38,0.013563528669779123
39,0.014000005083277622
40,0.014443308494247567
41,0.01489338261182392
42,0.015350166784230965
43,0.015813595976714456
44,0.016283600751902317
45,0.01676010725262768
46,0.017243037187246905
47,0.017732307817483743
48,0.018227831948829185
49,0.01872951792352528
50,0.019237269616159406
51,0.019750986431894164
52,0.020270563307356385
53,0.02079589071420705
54,0.021326854665412398
55,0.02186333672423488
56,0.022405214015960764
57,0.022952359242379594
58,0.023504640699029085
59,0.024061922295217038
60,0.024624063576830377
61,0.025190919751939433
62,0.025762341719203857
63,0.026338176099084863
64,0.026918265267866365
65,0.02750244739448615
66,0.02809055648017603
67,0.028682422400908285
68,0.02927787095264363
69,0.029876723899374374
70,0.03047879902395417
71,0.03108391018170431
72,0.031691867356784184
73,0.03230247672131197
74,0.032915540697219595
75,0.0335308580208241
76,0.034148223810095774
77,0.03476742963460126
78,0.03538826358809844
79,0.036010510363757464
80,0.03663395133198078
81,0.03725836462079326
82,0.03788352519877115
83,0.0385092049604774
84,0.03913517281436857
85,0.03976119477313704
86,0.04038703404645018
87,0.0410124511360467
88,0.04163720393314822
89,0.042261047818142806
90,0.04288373576249508
91,0.04350501843283613
92,0.04412464429718465
93,0.04474235973324903
94,0.04535790913875849
95,0.0459710350437701
96,0.04658147822489628
97,0.04718897782139657
98,0.04779327145307537
99,0.04839409533992628
100,0.04899118442346191
101,0.049584272489666924
102,0.05017309229351042
103,0.05075737568495256
104,0.05133685373637924
105,0.05191125687139662
106,0.05248031499491739
107,0.053043757624467947
108,0.0536013140226457
109,0.05415271333065407
110,0.054697684702841844
111,0.0552359574421724
112,0.05576726113654767
113,0.05629132579591019
114,0.05680788199004664
115,0.0573166609870144
116,0.05781739489211266
117,0.0583098167873185
118,0.058793660871107954
119,0.05926866259858097
120,0.05973455882180921
121,0.06019108793032481
122,0.06063798999166735
123,0.06107500689190685
124,0.0615018824760592
125,0.06191836268831075
126,0.06232419571196834
127,0.06271913210905072
128,0.06310292495943769
129,0.06347532999949208
130,0.06383610576007125
131,0.06418501370384301
132,0.06452181836182266
133,0.0648462874690466
134,0.06515819209929868
135,0.06545730679880642
136,0.06574340971882274
137,0.06601628274701118
138,0.0662757116375516
139,0.06652148613988439
140,0.0667534001260117
141,0.06697125171627476
142,0.06717484340352652
143,0.06736398217562058
144,0.0675384796361371
145,0.06769815212326741
146,0.06784282082678027
147,0.06797231190299337
148,0.0680864565876744
149,0.06818509130679742
150,0.06826805778508108
151,0.06833520315223632
152,0.06838638004685252
153,0.06842144671785214
154,0.06844026712344503
155,0.06844271102751522
156,0.06842865409337409
157,0.0683979779748154
158,0.06835057040440855
159,0.06828632527896922
160,0.06820514274214637
161,0.06810692926406761
162,0.0679915977179856
163,0.06785906745387056
164,0.06770926436889503
165,0.06754212097475903
166,0.06735757646180586
167,0.06715557675988051
168,0.06693607459588134
169,0.06669902954796693
170,0.0664444080963692
171,0.06617218367077507
172,0.06588233669423757
173,0.06557485462358001
174,0.06524973198625819
175,0.06490697041364843
176,0.06454657867073108
177,0.06416857268214092
178,0.06377297555455881
179,0.06335981759542
180,0.062929136327918
181,0.06248097650228379
182,0.062015390103323756
183,0.06153243635420046
184,0.061032181716444076
185,0.06051469988618355
186,0.05998007178658931
187,0.0594283855565215
188,0.05885973653538013
189,0.058274227244155596
190,0.05767196736268062
191,0.05705307370308671
192,0.056417670179470934
193,0.055765887773780574
194,0.05509786449792614
195,0.054413745352135
196,0.05371368227956062
197,0.052997834117164494
198,0.05226636654289011
199,0.05151945201915082
200,0.050757269732655465
201,0.049980005530598066
202,0.049187851853240115
203,0.04838100766291632
204,0.047559678369496546
205,0.046724075752339375
206,0.04587441787877453
207,0.04501092901915384
208,0.04413383955851228
209,0.043243385904883
210,0.042339810394312186
211,0.04142336119262183
212,0.040494292193970265
213,0.03955286291626264
